date,check_point0,check_point1,check_point2,check_point3,check_point4,check_point5,check_point6,check_point7,check_point8,check_point9,check_point10,check_point11,check_point12,check_point13,check_point14,check_point15,check_point16,check_point17,check_point18,check_point19,check_point20,month,day,heat_deg_days_c,total_snow_cm,spd_of_max_gust_kmPerhr
2015-06-23,4062,3171,4193,1579,,4643,1216,1520,2439,,966,1673.0,2781,4142,1968,136,,1746,2702,2902,390,6,23,0.0,0.0,70.0
2015-06-24,4818,5447,5085,1759,,4076,1688,2293,2102,,4787,3704.0,4016,5687,2742,138,,1566,3128,1800,339,6,24,0.0,0.0,46.0
2015-06-25,5953,4986,6312,2494,,7027,1911,2573,3698,,2340,3004.0,4199,5321,3396,217,,2599,3314,4362,773,6,25,1.1,0.0,33.0
2015-06-26,6768,4938,6539,2140,,6916,1882,2865,3450,,2558,3056.0,4213,5758,3737,153,,3063,3648,3860,629,6,26,0.0,0.0,35.0
2015-06-27,5175,4399,5065,1347,,4614,1388,2181,2234,,3908,2859.0,3810,5035,2804,124,,1863,3145,1874,325,6,27,0.0,0.0,31.0
2015-06-28,732,724,836,323,,967,255,277,476,,86,308.0,792,1132,307,32,,406,855,385,40,6,28,1.8,0.0,46.0
2015-06-29,4305,3201,4406,1846,,5298,1446,1700,2786,,1409,1962.0,3041,4162,2399,266,,2179,2969,3287,425,6,29,2.3,0.0,32.0
2015-06-30,5449,4144,5376,2038,,6091,1730,2453,3178,,2299,2631.0,3562,4796,3005,275,,2502,3630,3846,656,6,30,0.0,0.0,39.0
2015-07-01,1459,1360,1724,609,,1617,476,516,768,,462,783.0,1300,1887,735,111,,864,1410,784,147,7,1,0.0,0.0,54.0
2015-07-02,5790,4824,6187,2370,,6973,1876,2558,3611,,2282,2939.0,4030,5956,3365,457,,2922,4105,4102,694,7,2,0.0,0.0,56.0
2015-07-03,6806,5188,6570,2209,,7021,1984,2966,3391,,3026,3110.0,4183,6389,3862,444,,2999,4276,3737,690,7,3,0.0,0.0,37.0
2015-07-04,5559,4558,5370,1402,,3115,1362,2217,2130,,4233,3861.0,3609,5282,3168,427,,2131,3091,1842,386,7,4,0.0,0.0,31.0
2015-07-05,5144,4434,5091,1364,,4370,1505,2195,2117,,4126,3801.0,4177,5191,2616,278,,2016,3273,1772,369,7,5,0.0,0.0,33.0
2015-07-06,6049,4914,6493,2347,,6768,2151,2870,3647,,3036,3554.0,3707,6058,3569,461,,2581,4159,4243,710,7,6,0.0,0.0,31.0
2015-07-07,4590,3484,4726,1787,,5383,1489,1896,2954,,1529,2162.0,2773,4495,2549,544,,2240,3438,3502,603,7,7,0.0,0.0,48.0
2015-07-08,6586,5329,6724,2575,,7085,2306,3035,3827,,2936,3707.0,4324,6348,3844,643,,2920,4277,4494,730,7,8,0.0,0.0,39.0
2015-07-09,6339,4947,6263,2393,,7233,2181,2844,3714,,2734,3221.0,3780,5478,3616,697,,2853,4359,4297,701,7,9,0.0,0.0,31.0
2015-07-10,6371,4966,6341,2007,,6699,1964,2822,3289,,3033,3346.0,4163,5942,3670,545,,2693,4214,3884,656,7,10,0.0,0.0,39.0
2015-07-11,4801,4363,4965,1288,,4473,1358,1990,1894,,3607,3532.0,3337,5179,2683,335,,1968,3299,1802,325,7,11,0.0,0.0,44.0
2015-07-12,4043,3908,4278,1257,,3805,1227,1744,1787,,3422,3441.0,3450,4704,2087,222,,1674,3031,1694,273,7,12,0.0,0.0,31.0
2015-07-13,5388,4282,5728,2145,,6192,1931,2465,3156,,2315,3016.0,3202,4785,3011,468,,2274,3954,3769,686,7,13,0.0,0.0,31.0
2015-07-14,5361,4107,5597,2083,,6429,1880,2370,3185,,2092,2690.0,3455,4617,2785,558,,2383,3885,3963,666,7,14,0.0,0.0,57.0
2015-07-15,6904,5074,6809,2628,,7547,2211,2962,3839,,3216,3417.0,4287,6096,4061,760,,3432,4467,4518,820,7,15,0.0,0.0,48.0
2015-07-16,6870,5003,6658,2452,,7181,2274,2973,3703,,3315,3622.0,4165,6232,3758,561,,3256,4423,4212,736,7,16,1.1,0.0,31.0
2015-07-17,5189,4085,5365,1880,,5944,1794,2405,3024,,2515,2607.0,3552,4919,3124,387,,2606,3778,2731,569,7,17,0.0,0.0,33.0
2015-07-18,3017,2559,2938,901,,3306,837,1005,1367,,1323,1579.0,2403,3440,1630,176,,1686,2443,1029,219,7,18,0.0,0.0,31.0
2015-07-19,2478,2298,2605,878,,2617,865,887,1228,,1457,1651.0,2309,3067,1112,136,,1273,2332,932,181,7,19,0.0,0.0,31.0
2015-07-20,5807,4628,6215,2315,,6569,2179,2857,3595,,3288,3475.0,3940,5877,3607,595,,2711,3988,3577,788,7,20,0.0,0.0,43.0
2015-07-21,3114,2222,3195,1247,,3897,1211,1276,2052,,1044,1724.0,2183,2554,1721,294,,1637,2428,2294,452,7,21,0.0,0.0,44.0
2015-07-22,5396,4174,5628,2296,,6700,9999,2562,3360,,2929,2990.0,3849,5288,3301,777,,2575,3928,4088,723,7,22,0.0,0.0,41.0
2015-07-23,5414,4226,5476,2187,,6324,1872,2537,3192,,2408,2631.0,3750,5542,3214,400,,2671,3900,3512,648,7,23,0.0,0.0,61.0
2015-07-24,4051,3306,4378,1422,,4898,1391,1659,2359,,1536,1902.0,3077,4174,2180,327,,2103,3382,2712,454,7,24,0.0,0.0,31.0
2015-07-25,4193,3666,4524,1225,,3917,1411,1933,1823,,3909,3034.0,3180,4648,2568,307,,1939,3053,1680,314,7,25,0.0,0.0,31.0
2015-07-26,3136,3236,3642,1133,,2963,1132,1368,1555,,2509,2241.0,3093,3909,1675,205,,1619,2722,1478,247,7,26,0.0,0.0,31.0
2015-07-27,4756,3730,4858,1887,,5210,1742,2325,2951,,2584,2705.0,2965,4539,2998,485,,2144,3654,3555,699,7,27,0.0,0.0,44.0
2015-07-28,5495,4139,5797,2091,,6000,1942,2581,3227,,2895,3083.0,3422,4503,3279,634,,2345,4087,4012,726,7,28,0.0,0.0,33.0
2015-07-29,5555,4294,5982,1935,,5868,1926,2454,3143,,3157,3245.0,3510,5419,3544,508,,2386,3751,3959,700,7,29,0.0,0.0,31.0
2015-07-30,4635,3389,4759,1652,,5276,1508,1996,2820,,1543,2122.0,2986,4691,2547,529,,2240,3343,3480,684,7,30,0.0,0.0,43.0
2015-07-31,5486,4165,5625,1746,,5846,1746,2432,2999,,3309,4116.0,3718,5215,3281,581,,2511,3763,3555,715,7,31,0.0,0.0,63.0
2015-08-01,3809,3268,4043,1084,,3691,1175,1563,1539,,3671,5832.0,2968,4850,2124,290,,1707,2517,1615,286,8,1,0.0,0.0,56.0
2015-08-02,4176,3879,4438,1389,,3783,1392,1916,1944,,4425,6014.0,3718,4663,2222,281,,1706,2709,1758,267,8,2,0.0,0.0,37.0
2015-08-03,3842,2866,3997,1544,,4836,1392,1658,2475,,1386,2240.0,2828,3771,2185,428,,2368,2702,3074,509,8,3,0.0,0.0,50.0
2015-08-04,5689,4141,5688,2147,,6384,1995,2445,3241,,2591,2915.0,3959,4984,3176,677,,3198,3324,3950,545,8,4,0.0,0.0,52.0
2015-08-05,4806,3719,5100,1981,,5645,1763,2373,2959,,1983,2419.0,3701,5540,3029,613,,2841,3098,3663,634,8,5,0.0,0.0,46.0
2015-08-06,5722,3876,5456,2118,,5950,1884,2366,3027,,2259,2761.0,3762,4978,3113,674,,2938,3055,3953,611,8,6,0.0,0.0,44.0
2015-08-07,4846,3782,4985,1680,,5302,1593,2315,2770,,2529,2734.0,3511,4869,2927,578,,2496,2846,3371,651,8,7,0.9,0.0,31.0
2015-08-08,2593,3730,4416,1233,,3789,1368,1869,1713,,3534,3170.0,3418,4525,2274,280,,2050,2601,1639,328,8,8,0.0,,
2015-08-09,3508,3324,3983,1126,,3507,1210,1603,1743,,3070,3131.0,3629,4358,1981,282,,1768,2355,1692,316,8,9,0.0,0.0,31.0
2015-08-10,5191,4023,5373,1949,,5767,1915,2455,3081,,2857,3606.0,3664,4642,3211,653,,2520,3104,3660,665,8,10,0.0,0.0,50.0
2015-08-11,1557,1322,1753,685,,2033,555,579,1125,,368,759.0,1393,1745,801,191,,953,1360,1287,151,8,11,0.0,0.0,44.0
2015-08-12,3914,2895,4188,1682,,4871,1465,1426,2599,,1299,1964.0,3098,3848,1921,556,,2135,2644,3188,407,8,12,0.0,0.0,46.0
2015-08-13,5297,4147,5336,2120,,5963,1741,2213,3242,,2386,2868.0,3954,5174,2877,586,,2629,3040,3825,626,8,13,0.0,0.0,33.0
2015-08-14,3154,2318,3246,1225,,3504,1038,1245,1968,,961,1902.0,2371,3227,1783,400,,1661,2132,2180,321,8,14,0.0,0.0,39.0
2015-08-15,3586,3551,3909,1080,,3325,1237,1513,1495,,2655,2791.0,2915,4132,1920,275,,1677,2258,1533,265,8,15,0.0,0.0,31.0
2015-08-16,3975,3468,4149,1142,,3335,1301,1626,1631,,3179,3169.0,3511,4320,1911,279,,1519,2442,1469,325,8,16,0.0,0.0,31.0
2015-08-17,4999,4056,5578,2002,,5588,1838,2340,3029,,2449,3132.0,3578,4665,3011,720,,2075,3210,3300,643,8,17,0.0,0.0,41.0
2015-08-18,5413,4209,5861,2036,,5887,1872,2292,3141,,2450,3100.0,3661,4727,2978,653,,2235,3203,3898,673,8,18,0.0,0.0,48.0
2015-08-19,5339,4136,5716,2078,,5794,1820,2328,3079,,2321,3012.0,3826,4720,2979,683,,2177,3306,3782,570,8,19,0.0,0.0,32.0
2015-08-20,5189,4198,5673,1978,,5782,1774,2247,3188,,2091,2726.0,3682,4833,2821,555,,2317,3340,3835,561,8,20,0.0,0.0,57.0
2015-08-21,4857,3840,5103,1809,,917,1705,1938,2834,,1930,2405.0,3605,4572,2534,579,,2327,3066,3265,474,8,21,0.0,0.0,41.0
2015-08-22,3907,3871,4324,1293,,1032,1277,1706,1677,,3107,2546.0,3241,4576,2012,265,,1896,2429,1657,308,8,22,0.0,0.0,31.0
2015-08-23,3742,3816,4250,1368,,914,1360,1670,1837,,3394,3076.0,3760,4729,1963,272,,1753,2465,1671,281,8,23,0.0,0.0,31.0
2015-08-24,5111,3840,5284,2225,,947,1958,2269,3053,,2162,2966.0,3271,4662,2864,646,,2186,2930,3777,525,8,24,0.0,0.0,37.0
2015-08-25,6095,4641,6140,2523,,148,2189,2574,3508,,2738,3264.0,3906,5627,3314,687,,1669,3340,4131,668,8,25,0.0,0.0,43.0
2015-08-26,5644,4371,6033,2658,,8,2250,2468,3492,,2453,3169.0,4177,5513,3253,700,,1462,3149,4393,633,8,26,0.0,0.0,33.0
2015-08-27,5341,4203,5481,2371,,4,2000,2139,3288,,1743,2684.0,3879,5475,2849,582,,2239,3207,3876,516,8,27,0.0,0.0,41.0
2015-08-28,5337,4658,5815,2376,,3,2043,2364,3219,,2521,2907.0,4374,5478,3194,629,,2758,3373,3930,570,8,28,0.0,0.0,39.0
2015-08-29,3455,3629,3708,1185,,4,1247,1330,1583,,2485,2408.0,3474,4260,1784,246,,1934,2457,1795,224,8,29,0.0,0.0,33.0
2015-08-30,3703,3606,4132,1349,,2,1371,1498,1777,,3281,2906.0,3946,4510,1848,253,,1803,2568,1697,264,8,30,0.0,0.0,33.0
2015-08-31,5420,4273,5685,2808,,14,2216,2555,3552,,2174,2961.0,3908,4876,2911,653,,2554,3103,4320,599,8,31,0.0,0.0,52.0
2015-09-01,6289,4896,6759,3334,,154,2442,2780,4051,,2716,3555.0,4474,5937,3562,711,,2953,3609,4780,644,9,1,0.0,0.0,31.0
2015-09-02,5565,4317,6035,3229,,440,2344,2487,3691,,2540,2941.0,4212,5478,3200,665,,2794,3395,4540,637,9,2,0.0,0.0,32.0
2015-09-03,5858,4783,6300,3254,,379,2392,2547,4048,,2321,3143.0,4513,6035,3392,641,,3011,3487,4786,646,9,3,0.0,0.0,32.0
2015-09-04,5521,4394,5770,2728,,148,2124,2422,3797,,2222,2803.0,4400,5519,3148,639,,2899,3267,4519,527,9,4,0.0,0.0,35.0
2015-09-05,4105,3632,4286,1143,,232,1304,1581,1787,,2952,2814.0,3550,4520,1991,315,,1878,2277,2025,270,9,5,0.0,0.0,31.0
2015-09-06,3701,3163,3596,1059,,139,1140,1450,1854,,2757,2897.0,3365,3996,1975,254,,1558,1964,1805,379,9,6,0.0,0.0,32.0
2015-09-07,3124,2838,3496,998,,154,1147,1258,1307,,3004,2754.0,2496,3603,1630,216,,1245,1851,1413,245,9,7,0.0,0.0,57.0
2015-09-08,6194,3953,5815,2786,,126,2202,2389,4063,,1727,2613.0,3956,5395,3081,651,,2528,3118,4976,595,9,8,0.0,0.0,31.0
2015-09-09,5792,3592,5132,2696,,180,2010,2154,3844,,1307,2201.0,3655,4798,2797,729,,2648,3099,4718,666,9,9,0.0,0.0,50.0
2015-09-10,6886,4673,6366,3049,,158,2460,2683,4414,,2232,3070.0,4507,6333,3492,781,,3083,2498,5596,708,9,10,0.0,0.0,31.0
2015-09-11,6787,4633,6326,2780,,338,2336,2683,4087,,2143,2932.0,4642,6284,3512,671,,3109,3291,4751,605,9,11,0.0,0.0,31.0
2015-09-12,1641,1479,1748,836,,180,618,540,860,,667,1114.0,1906,2303,672,109,,1039,1340,1012,97,9,12,1.1,0.0,41.0
2015-09-13,857,788,965,335,,146,342,239,713,,368,726.0,1322,1491,337,75,,646,801,611,85,9,13,0.3,0.0,44.0
2015-09-14,2564,1755,2593,1509,,290,1085,901,2008,,559,1102.0,2162,2755,1231,301,,1314,1736,2375,254,9,14,0.3,0.0,43.0
2015-09-15,6763,4553,6233,3283,,523,2423,2620,4452,,2478,3019.0,4713,5849,3288,748,,3213,3121,5416,564,9,15,0.0,0.0,33.0
2015-09-16,6810,4487,6562,3122,,669,2481,2670,4396,,2485,2964.0,4847,5897,3394,690,,3057,3278,5438,729,9,16,0.0,0.0,32.0
2015-09-17,6652,4566,6322,2991,,328,2490,2560,4263,,2152,2855.0,4687,5939,3232,732,,3029,3293,5198,638,9,17,0.0,0.0,39.0
2015-09-18,6391,4534,6242,2490,,167,2244,2553,4025,,2211,2563.0,4715,5929,3254,698,,2761,3155,4939,681,9,18,0.0,0.0,32.0
2015-09-19,3337,2897,3425,1157,,353,1159,1165,1730,,2043,1878.0,3184,3942,1480,246,,1563,2076,1868,332,9,19,0.0,0.0,57.0
2015-09-20,3042,3070,2591,1252,,444,1083,1059,1706,,1437,3001.0,3730,4231,1482,219,,1629,2071,1757,202,9,20,4.2,0.0,44.0
2015-09-21,5371,3768,5474,2885,,943,2185,2305,4059,,1717,2321.0,4149,5257,2841,729,,2590,2673,4886,629,9,21,3.8,0.0,31.0
2015-09-22,6228,4094,6096,2996,,94,2397,2509,4270,,1911,2728.0,4521,5678,3159,687,,2766,2878,5159,681,9,22,1.3,0.0,31.0
2015-09-23,6279,4300,5959,3107,,68,2334,2544,4294,,1937,2701.0,4688,6181,3160,720,,2748,2875,5259,686,9,23,0.0,0.0,32.0
2015-09-24,6520,3921,5690,2912,,29,2282,2226,4247,,1608,2491.0,4416,5460,2919,670,,2851,2792,5066,646,9,24,3.3,0.0,41.0
2015-09-25,5191,3215,4756,1990,,230,1896,1771,3439,0.0,1298,2014.0,3713,4717,2230,568,,2487,2655,4325,532,9,25,6.9,0.0,32.0
2015-09-26,3155,2834,3170,1062,,102,1103,1020,1592,1251.0,1827,1782.0,3090,3960,1299,241,,1453,1902,1795,254,9,26,6.5,0.0,31.0
2015-09-27,3325,3161,3717,1162,,74,1158,1261,1698,1713.0,2719,2484.0,3706,4230,1616,199,5498.0,1377,2103,1786,209,9,27,3.5,0.0,32.0
2015-09-28,4313,2537,3869,2154,,447,1662,1577,3164,3131.0,1063,1711.0,2827,3711,1935,468,7382.0,2023,2163,3903,584,9,28,0.1,0.0,39.0
2015-09-29,3318,1782,3012,1677,,353,1281,1122,2439,2423.0,578,1187.0,2361,3101,1427,312,5662.0,1510,1721,3066,394,9,29,0.0,0.0,44.0
2015-09-30,2829,1667,2520,1477,,452,997,878,2242,2245.0,403,1063.0,2100,2618,1163,322,5515.0,1404,1639,2726,269,9,30,8.2,0.0,56.0
2015-10-01,4950,2896,4352,2189,,623,1695,1744,3423,3335.0,1091,1946.0,3425,4349,2128,516,7388.0,2216,2435,3712,496,10,1,8.7,0.0,46.0
2015-10-02,4092,2706,3929,1761,,187,1541,1379,2878,2755.0,916,1774.0,3152,4284,1882,469,6178.0,2076,2133,3523,432,10,2,9.5,0.0,54.0
2015-10-03,2019,1975,2190,800,,20,781,537,1255,1233.0,721,880.0,2555,3117,684,135,3936.0,1202,1547,1353,163,10,3,9.9,0.0,50.0
2015-10-04,1962,1938,2095,798,,13,845,640,1191,1142.0,1070,1179.0,2295,2753,805,131,3529.0,988,1300,1207,147,10,4,8.9,0.0,31.0
2015-10-05,4365,2575,4056,2175,,12,1736,1630,3261,3123.0,1013,1735.0,3060,4025,1985,505,6417.0,2067,2043,4075,518,10,5,7.9,0.0,31.0
2015-10-06,4986,2900,4566,2224,,53,1815,1724,3411,3287.0,1291,2046.0,3286,4601,2140,578,6794.0,2179,2112,4211,527,10,6,4.8,0.0,35.0
2015-10-07,4943,3021,4555,2314,,49,1769,1761,3360,3330.0,1184,1962.0,3393,4493,1935,564,7022.0,2202,2260,4206,533,10,7,5.0,0.0,43.0
2015-10-08,4710,2943,4466,2126,,316,1786,1656,3320,3209.0,928,1810.0,3355,4335,2031,514,6786.0,2129,2026,4115,523,10,8,10.0,0.0,31.0
2015-10-09,1538,938,1486,682,,260,574,477,1311,1283.0,160,566.0,1367,1872,642,191,2805.0,932,1057,1421,156,10,9,11.3,0.0,32.0
2015-10-10,1653,1437,1904,571,,291,571,488,982,955.0,811,999.0,2043,2384,659,159,3155.0,966,1204,1094,124,10,10,11.7,0.0,41.0
2015-10-11,1574,1436,1733,585,,162,567,492,899,876.0,685,1010.0,1811,2121,644,126,2643.0,787,1015,936,139,10,11,5.2,0.0,48.0
2015-10-12,2592,2611,3105,1029,,327,1058,1194,1405,1367.0,2664,2198.0,3013,3561,1518,223,4086.0,1051,1437,1220,213,10,12,0.2,0.0,35.0
2015-10-13,3457,1767,3065,1500,,211,1286,1178,2477,2425.0,557,1257.0,2249,3125,1457,362,4993.0,1507,1460,2965,410,10,13,3.0,0.0,48.0
2015-10-14,4321,2407,3875,1909,,380,1501,1417,3100,3041.0,719,1563.0,2895,3667,1836,530,6346.0,1748,1801,3924,454,10,14,9.3,0.0,54.0
2015-10-15,3583,2047,3274,1484,,89,1075,1040,2530,2489.0,501,1221.0,2369,3169,1422,379,6386.0,1670,1583,3043,394,10,15,9.9,0.0,54.0
2015-10-16,3424,2031,3144,1294,,266,1187,966,2406,2322.0,600,1092.0,2568,3271,1317,443,5665.0,1598,1698,2984,331,10,16,9.8,0.0,57.0
2015-10-17,963,1037,1167,370,,689,326,293,699,1455.0,129,409.0,1286,1493,329,59,2241.0,615,853,726,87,10,17,15.9,1.0,59.0
2015-10-18,1062,1057,1306,423,,882,338,324,782,763.0,252,574.0,1436,1627,422,60,2832.0,635,887,815,89,10,18,17.8,0.0,35.0
2015-10-19,2717,1752,2555,955,,166,1027,910,2119,2092.0,445,1018.0,1981,3045,1152,344,4782.0,1295,1411,2529,352,10,19,15.7,0.0,46.0
2015-10-20,3750,2280,3568,1322,,61,1550,1276,2799,2730.0,832,1511.0,2550,3460,1561,398,6260.0,1632,1755,3427,397,10,20,5.8,0.0,59.0
2015-10-21,3717,2258,3465,1391,,244,1273,1208,2774,2728.0,709,1441.0,2556,3546,1561,394,5964.0,1717,1789,3198,383,10,21,12.7,0.0,31.0
2015-10-22,3207,1723,2909,1093,,85,1023,849,2191,2154.0,468,1046.0,2202,2925,1173,333,4946.0,1317,1505,2677,333,10,22,7.8,0.0,63.0
2015-10-23,3142,2034,3048,1129,,143,1088,1340,2307,2271.0,569,1192.0,2343,3254,1311,364,5416.0,1526,1614,2722,345,10,23,14.1,0.0,39.0
2015-10-24,1491,1434,1750,594,,168,556,536,1015,1015.0,465,843.0,1888,2273,533,101,3213.0,871,1201,1026,117,10,24,12.7,0.0,56.0
2015-10-25,890,971,1009,448,,110,344,342,646,629.0,174,380.0,1141,1462,327,65,2107.0,528,805,725,81,10,25,9.1,0.0,54.0
2015-10-26,3012,1930,2931,1369,,230,1114,1074,2379,2372.0,611,1201.0,2141,3099,1368,402,5484.0,1505,1540,2940,393,10,26,14.8,0.0,37.0
2015-10-27,3301,2110,3222,1491,,340,1216,1180,2737,2701.0,761,1339.0,2367,3381,1511,385,5706.0,1626,1773,3184,422,10,27,14.3,0.0,31.0
2015-10-28,1733,999,1643,830,,198,653,631,1512,1495.0,200,581.0,1301,1909,749,174,3367.0,956,1050,1868,230,10,28,12.7,0.0,48.0
2015-10-29,2249,1233,2014,1043,,1203,789,765,1876,1825.0,230,638.0,1671,2272,861,265,4024.0,1076,1292,2170,275,10,29,7.1,0.0,83.0
2015-10-30,2630,1746,2632,1212,,121,991,960,2160,2121.0,468,1079.0,2127,2913,1133,328,4869.0,1450,1638,2593,322,10,30,14.4,0.0,56.0
2015-10-31,1396,1347,1557,478,,30,506,490,913,896.0,418,666.0,1541,2049,486,113,3078.0,867,1178,937,103,10,31,15.5,0.0,31.0
2015-11-01,529,644,715,227,,38,218,218,459,461.0,41,219.0,723,1111,179,43,1554.0,410,611,446,50,11,1,8.8,0.0,70.0
2015-11-02,3177,1975,2912,1457,,47,1136,1096,2455,2380.0,571,1124.0,2228,3198,1364,351,5253.0,1472,1434,2985,451,11,2,10.0,0.0,41.0
2015-11-03,3738,2279,3378,1558,,181,1285,1242,2630,2641.0,785,1264.0,2502,3511,1533,396,5939.0,1678,1742,3316,441,11,3,7.9,0.0,35.0
2015-11-04,3757,2351,3464,1704,,33,1334,1296,2747,2837.0,809,1341.0,2482,3584,1606,399,6079.0,1735,1823,3184,381,11,4,10.5,0.0,31.0
2015-11-05,3774,2407,3513,1694,,273,1334,1293,2820,3072.0,804,1299.0,2426,3590,1537,372,6258.0,1772,1855,3313,375,11,5,7.3,0.0,31.0
2015-11-06,2613,1477,2334,1025,,177,879,853,1935,2395.0,301,701.0,2130,2675,1016,271,4522.0,1205,1430,2234,309,11,6,3.3,0.0,70.0
2015-11-07,1879,1481,1838,595,,343,606,593,1076,1326.0,491,707.0,1719,2251,590,120,2688.0,923,1215,1163,124,11,7,11.2,0.0,46.0
2015-11-08,1240,1254,1470,514,,151,452,436,787,2121.0,334,566.0,1301,1920,367,79,2302.0,704,989,812,95,11,8,14.9,0.0,41.0
2015-11-09,2972,1855,2857,1327,,44,1076,1043,2360,3604.0,500,1055.0,2370,3005,1226,321,4057.0,1500,1376,2758,377,11,9,11.2,0.0,43.0
2015-11-10,3385,2006,3018,1491,,3663,1201,1164,2508,3772.0,671,1144.0,2435,3293,1449,336,4214.0,1638,1640,3002,377,11,10,11.6,0.0,32.0
2015-11-11,3044,1931,2828,1393,,3603,1754,1142,2342,3997.0,458,950.0,2328,3280,1210,338,4065.0,1534,1527,2860,356,11,11,10.6,0.0,31.0
2015-11-12,1751,930,1670,888,,2048,700,675,1566,2945.0,152,467.0,1345,1877,755,180,2336.0,960,955,1777,198,11,12,8.9,0.0,63.0
2015-11-13,1818,906,1711,873,,2115,634,477,1522,1693.0,150,482.0,1416,1980,719,204,2628.0,978,1040,1727,258,11,13,12.8,0.0,48.0
2015-11-14,979,759,978,322,,1112,290,310,601,604.0,98,266.0,1061,1448,269,70,1876.0,640,805,737,73,11,14,16.0,0.0,50.0
2015-11-15,913,749,1028,348,,1128,303,224,666,663.0,224,380.0,1094,1491,321,64,1913.0,537,804,685,63,11,15,14.0,0.0,39.0
